"fullName","description","isFork","createdAgo","pushedAgo","stars","watchers","forks","issues","pullRequests","releases","topics","mentionable","assignable","usersStars","leftShare","rightShare","relevance","T1W","T2W","T1M","T3M","T6M","T1Y","T2Y","T5Y","TI","T-48","T-47","T-46","T-45","T-44","T-43","T-42","T-41","T-40","T-39","T-38","T-37","T-36","T-35","T-34","T-33","T-32","T-31","T-30","T-29","T-28","T-27","T-26","T-25","T-24","T-23","T-22","T-21","T-20","T-19","T-18","T-17","T-16","T-15","T-14","T-13","T-12","T-11","T-10","T-9","T-8","T-7","T-6","T-5","T-4","T-3","T-2","T-1","T0"
"theycallmemac/odin","A programmable, observable and distributed job orchestration system.",false,296.1,3,402,6,18,26,35,1,"go, golang, python, nodejs, typescript, job-scheduler, distributed-systems, raft, cron, observability, odin, scheduling, distributed, workflow-engine, workflow-automation, workflows, workflow-management, orchestration, automation, productivity",6,3,5,0.93,3.69,2.33,,0.07,0.23,0.16,0.18,,,,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,22,341,369,380,382,386,391,395,404
"zeebe-io/zeebe-modeler","Desktop Application for modeling Zeebe Workflows with BPMN",false,1263.5,5.6,196,23,43,165,127,21,"zeebe-modeler, zeebe, workflow, desktop-application, bpmn, hacktoberfest",42,64,3,0.56,4.54,2.26,,0.14,0.1,0.15,0.17,0.21,0.21,,0.15,0,0,0,0,0,0,0,17,18,19,19,20,22,23,23,23,23,24,24,24,25,28,31,40,42,46,51,56,57,63,69,74,86,96,102,110,117,125,135,142,148,155,164,170,178,182,186,192,196
"banzaicloud/banzai-charts","Curated list of Banzai Cloud Helm charts used by the Pipeline Platform",false,1221.2,7.1,312,8,222,178,1046,10,"kubernetes, charts",114,38,4,0.75,3.8,2.21,,0.07,0.13,0.19,0.19,0.2,0.25,,0.26,0,0,0,0,0,0,0,0,0,1,2,8,15,19,29,31,37,46,63,73,80,90,100,109,125,130,144,155,167,178,180,193,202,215,224,231,237,242,251,259,268,273,277,283,289,294,301,307,313
"Flagsmith/flagsmith-api","Feature flagging and remote config service. Host yourself or use our hosted version at https://www.flagsmith.com/",false,1007.5,20.5,219,14,40,29,42,11,"feature-flags, continuous-integration, remote-control, ci, cd, feature-toggles, feature-flag, remote-config, python, feature-flagging, feature-flaggers, flagsmith",15,7,3,0.56,4.06,2.1,0.57,0.36,0.36,0.36,0.45,0.36,0.26,,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,12,14,15,19,22,25,25,26,28,42,45,48,50,51,55,58,61,63,85,100,106,115,121,130,136,141,170,185,192,206,219
"nats-io/jetstream","JetStream Utilities",false,448.6,3.3,336,24,31,117,378,19,"",18,16,4,0.75,3.53,2.1,0.29,0.71,0.59,0.66,0.65,0.68,,,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,56,87,104,126,145,163,194,217,238,261,275,291,317,337
"CompositionalIT/farmer","Repeatable Azure deployments with ARM templates - made easy!",false,549.4,3.3,351,16,90,269,291,0,"arm-templates, azure, dotnet-core",53,4,4,0.75,3.38,2.04,0.43,0.43,0.56,0.49,0.61,0.63,,,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,45,71,74,83,105,120,124,147,168,200,212,237,275,291,304,318,332,351
"benbjohnson/wtf","WTF Dial is an example application written in Go.",false,118,20.9,358,16,26,0,3,12,"go, application",3,1,4,0.75,3.31,2.02,0.86,1.14,1.84,,,,,,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,301,357
"loft-sh/loft","Namespace & Virtual Cluster Manager for Kubernetes - Lightweight Virtual Clusters, Self-Service Provisioning for Engineers and 70% Cost Savings with Sleep Mode",false,294,3.1,233,5,18,30,66,91,"kubernetes, multi-tenancy, namespaces, development, devops, gitops, isolation, sandboxing, dev, environment",4,3,3,0.56,3.82,2.01,0.29,0.64,1.18,0.64,0.81,,,,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,85,125,154,175,180,196,237
"DataDog/dd-trace-go","A Go tracing package for Datadog APM",false,1642.6,0.3,243,280,183,271,587,50,"tracing, apm, datadog, opentracing",199,1440,3,0.56,3.66,1.96,,,0.16,0.19,0.2,0.21,0.18,,0.15,8,12,15,16,19,23,25,28,32,36,38,42,45,49,50,54,57,62,66,88,92,97,101,106,108,112,113,119,124,130,134,140,143,151,154,162,166,172,185,190,196,200,206,216,221,226,233,238,246
"kalmhq/kalm","Kalm | Kubernetes AppLication Manager",false,237.8,0.3,276,8,17,23,213,5,"",11,6,3,0.56,3.22,1.8,2.29,2.21,1.15,1.38,1.11,,,,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,70,127,139,147,179,238,274
